t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,5.000000,0.000000
10.000000,-0.000018,0.000026,0.000000,0.814498,-1.921103,0.000000,1.920031,0.811033,0.000000
20.000000,-0.000038,0.000039,0.000000,4.503319,1.100151,0.000000,-1.095850,4.508281,0.000000
30.000000,-0.000060,0.000063,0.000000,3.489751,-1.918408,0.000000,1.925243,3.473908,0.000000
40.000000,-0.000076,0.000080,0.000000,2.872811,1.924380,0.000000,-1.916228,2.911741,0.000000
50.000000,-0.000101,0.000101,0.000000,4.739530,-1.018704,0.000000,1.047050,4.723607,0.000000
60.000000,-0.000113,0.000124,0.000000,-0.520365,0.966707,0.000000,-1.125486,-0.381998,0.000000
70.000000,-0.000140,0.000140,0.000000,4.953643,0.105478,0.000000,-0.046979,4.968660,0.000000
80.000000,-0.000159,0.000166,0.000000,1.834945,-2.244078,0.000000,2.224277,1.651971,0.000000
90.000000,-0.000178,0.000180,0.000000,4.149870,1.213200,0.000000,-1.130942,4.255378,0.000000
100.000000,-0.000201,0.000203,0.000000,3.969679,-1.869985,0.000000,1.947027,3.831223,0.000000
110.000000,-0.000215,0.000221,0.000000,2.002869,1.899058,0.000000,-1.874995,2.330345,0.000000
120.000000,-0.000241,0.000241,0.000000,4.887892,-0.896147,0.000000,1.043189,4.830857,0.000000
130.000000,-0.000255,0.000267,0.000000,-0.461276,-1.192905,0.000000,0.421839,-0.847212,0.000000
140.000000,-0.000280,0.000280,0.000000,4.805607,0.257882,0.000000,-0.063196,4.887464,0.000000
150.000000,-0.000300,0.000305,0.000000,2.662028,-2.387442,0.000000,2.403028,2.249150,0.000000
160.000000,-0.000317,0.000320,0.000000,3.644432,1.348774,0.000000,-1.166675,3.943684,0.000000
170.000000,-0.000341,0.000343,0.000000,4.322709,-1.809187,0.000000,1.967763,4.105913,0.000000
180.000000,-0.000354,0.000362,0.000000,0.875755,1.697771,0.000000,-1.787518,1.531097,0.000000
190.000000,-0.000381,0.000381,0.000000,4.935292,-0.805315,0.000000,0.997444,4.893496,0.000000
200.000000,-0.000397,0.000407,0.000000,0.580367,-2.086049,0.000000,1.765270,0.060830,0.000000
210.000000,-0.000419,0.000420,0.000000,4.609740,0.344058,0.000000,-0.178392,4.708181,0.000000
220.000000,-0.000441,0.000445,0.000000,3.134319,-2.480484,0.000000,2.518410,2.896132,0.000000
230.000000,-0.000457,0.000460,0.000000,3.165160,1.405695,0.000000,-1.311640,3.374672,0.000000
240.000000,-0.000481,0.000482,0.000000,4.486683,-1.825116,0.000000,1.903229,4.404663,0.000000
250.000000,-0.000493,0.000504,0.000000,-0.220363,1.147678,0.000000,-1.348111,0.092514,0.000000
260.000000,-0.000521,0.000521,0.000000,4.904036,-0.790803,0.000000,0.853491,4.900997,0.000000
270.000000,-0.000539,0.000546,0.000000,1.270995,-2.478802,0.000000,2.439242,1.151697,0.000000
280.000000,-0.000559,0.000560,0.000000,4.375291,0.401572,0.000000,-0.367917,4.403453,0.000000
290.000000,-0.000581,0.000584,0.000000,3.464490,-2.563177,0.000000,2.571388,3.431288,0.000000
300.000000,-0.000596,0.000601,0.000000,2.568030,1.463768,0.000000,-1.457480,2.597057,0.000000
310.000000,-0.000621,0.000622,0.000000,4.597663,-1.826087,0.000000,1.829480,4.593425,0.000000
320.000000,-0.000635,0.000646,0.000000,-0.885945,-0.459224,0.000000,0.446500,-0.887862,0.000000
330.000000,-0.000661,0.000661,0.000000,4.817491,-0.724298,0.000000,0.720962,4.817967,0.000000
340.000000,-0.000680,0.000686,0.000000,1.910493,-2.767971,0.000000,2.767426,1.909684,0.000000
350.000000,-0.000698,0.000700,0.000000,4.019953,0.537702,0.000000,-0.538301,4.024206,0.000000
360.000000,-0.000721,0.000724,0.000000,3.779395,-2.607144,0.000000,2.610348,3.771648,0.000000
370.000000,-0.000735,0.000742,0.000000,1.635823,1.517555,0.000000,-1.516481,1.683897,0.000000
380.000000,-0.000761,0.000762,0.000000,4.675755,-1.763543,0.000000,1.784743,4.668746,0.000000
390.000000,-0.000777,0.000787,0.000000,-0.097423,-1.892145,0.000000,1.797871,-0.193968,0.000000
400.000000,-0.000800,0.000801,0.000000,4.647688,-0.567486,0.000000,0.622377,4.672630,0.000000
410.000000,-0.000820,0.000826,0.000000,2.514795,-2.977407,0.000000,2.973868,2.398920,0.000000
420.000000,-0.000838,0.000841,0.000000,3.469784,0.770451,0.000000,-0.680085,3.605693,0.000000
430.000000,-0.000862,0.000864,0.000000,4.061869,-2.594333,0.000000,2.659653,3.967176,0.000000
440.000000,-0.000874,0.000883,0.000000,0.106841,1.229960,0.000000,-1.394184,0.627058,0.000000
450.000000,-0.000901,0.000902,0.000000,4.692077,-1.625403,0.000000,1.767319,4.666614,0.000000
460.000000,-0.000918,0.000927,0.000000,0.843423,-2.664938,0.000000,2.445254,0.462384,0.000000
470.000000,-0.000940,0.000941,0.000000,4.360800,-0.322482,0.000000,0.538087,4.484017,0.000000
480.000000,-0.000961,0.000965,0.000000,3.026681,-3.107639,0.000000,3.134920,2.734589,0.000000
490.000000,-0.000977,0.000981,0.000000,2.677784,1.051209,0.000000,-0.832624,3.110326,0.000000
500.000000,-0.001002,0.001003,0.000000,4.254965,-2.543576,0.000000,2.695016,4.095349,0.000000
510.000000,-0.001014,0.001026,0.000000,-0.932845,-0.569923,0.000000,-0.545437,-0.703598,0.000000
520.000000,-0.001041,0.001042,0.000000,4.623152,-1.482783,0.000000,1.691256,4.618508,0.000000
530.000000,-0.001059,0.001067,0.000000,1.490241,-3.079818,0.000000,2.936116,1.118712,0.000000
540.000000,-0.001079,0.001081,0.000000,4.025135,-0.118383,0.000000,0.322398,4.177787,0.000000
550.000000,-0.001102,0.001105,0.000000,3.302448,-3.208524,0.000000,3.246340,3.117069,0.000000
560.000000,-0.001116,0.001122,0.000000,1.863487,1.218414,0.000000,-1.116208,2.216649,0.000000
570.000000,-0.001142,0.001143,0.000000,4.302502,-2.546398,0.000000,2.625331,4.241358,0.000000
580.000000,-0.001156,0.001167,0.000000,-0.475711,-1.769943,0.000000,1.491320,-0.650902,0.000000
590.000000,-0.001181,0.001182,0.000000,4.494659,-1.405035,0.000000,1.475448,4.507166,0.000000
