threads,run,time_sec
1,1,2.566490e-01
1,2,2.482221e-01
1,3,2.181051e-01
1,4,2.263529e-01
1,5,2.122741e-01
2,1,3.907349e-01
2,2,3.967199e-01
2,3,3.719451e-01
2,4,3.970780e-01
2,5,3.725989e-01
4,1,4.432619e-01
4,2,4.170022e-01
4,3,3.965859e-01
4,4,4.214792e-01
4,5,4.181612e-01
8,1,5.141768e-01
8,2,5.443470e-01
8,3,6.183541e-01
8,4,5.970080e-01
8,5,5.153210e-01
